配对编号,传输层协议,目标流包数,种子流包数,仿构流包数,目标流总帧长度（字节）,种子流总帧长度（字节）,仿构流总帧长度（字节）,目标流持续时间（秒）,仿构流持续时间（秒）,目标时间片数,仿构时间片数,包数序列余弦相似度,总帧长度序列余弦相似度,联合行为余弦相似度,逐包帧长度余弦相似度,逐包时间长度曲线余弦相似度,仿构流载荷总长度（字节）,载荷按种子流顺序截取比例,仿构特征提取时间（秒）,PCAP仿构时间（秒）,仿构阶段总时间（秒）,仿构阶段平均CPU占用率（%）,仿构阶段峰值内存（MB）,仿构流五元组继承种子流（1=是，0=否）,仿构流可重新解析（1=是，0=否）,载荷来源
pair_011,UDP,1679,1586,111,1462272,1345364,77767,21.705692052841187,4.6650309562683105,22,5,0.1553232183651545,0.11950944033181607,0.1395408854924643,0.6865144845222737,0.9623498773945993,73105,1.0,0.00042287493124604225,0.0960747500648722,0.09649762499611825,100.0,507.078125,1,1,种子流真实载荷顺序分片，不重复使用
pair_012,UDP,1579,1475,49,1585772,1440862,42622,19.373299837112427,0.9215378761291504,20,1,0.13827031040437113,0.12037136899865117,0.12975665530186228,0.6787667198185819,0.8699103007923,40564,1.0,0.00044408405665308237,0.09028062503784895,0.09072470909450203,99.96666666666665,507.078125,1,1,种子流真实载荷顺序分片，不重复使用
pair_013,UDP,1463,1326,37,1490716,1231217,34695,6.996938943862915,0.2834970951080322,7,1,0.17832254416930088,0.16297820068488483,0.17089933221921896,0.7135932666242412,0.7306206826378827,33141,1.0,0.00046916701830923557,0.08059170795604587,0.0810608749743551,99.95,507.078125,1,1,种子流真实载荷顺序分片，不重复使用
pair_014,UDP,1290,1287,90,1210082,1104074,80430,52.739415884017944,1.3781700134277344,53,2,0.3672388498306829,0.3654553986020627,0.3661441915354359,0.7247760028573319,0.9270426417926747,76650,1.0,0.000322790932841599,0.07892858295235783,0.07925137388519943,100.0,507.078125,1,1,种子流真实载荷顺序分片，不重复使用
pair_015,UDP,1272,1267,75,1226715,1218164,65476,87.97868800163269,1.606719970703125,88,2,0.367693149619117,0.35711691655553046,0.36224693126707874,0.6573346191125562,0.9391934124888637,62326,1.0,0.0002758329501375556,0.08031829202082008,0.08059412497095764,99.95,507.078125,1,1,种子流真实载荷顺序分片，不重复使用
pair_016,UDP,1265,1263,67,1217998,1228002,58525,46.859902143478394,0.7411539554595947,47,1,0.3377226621050837,0.31249839481922265,0.32435976529343263,0.6402621595272101,0.9123326861293172,55711,1.0,0.000359834055416286,0.07998395792674273,0.08034379198215902,99.9,507.078125,1,1,种子流真实载荷顺序分片，不重复使用
pair_017,UDP,1259,1247,27,1194875,1236844,24779,282.4975299835205,7.089071035385132,283,8,0.12346733202937017,0.11782821537325928,0.12070199284628788,0.7959909231244848,0.8416602293988691,23645,1.0,0.0003313750494271517,0.08145800000056624,0.0817893750499934,99.95,507.078125,1,1,种子流真实载荷顺序分片，不重复使用
pair_018,UDP,1227,1207,52,1208742,1187334,46453,26.54957604408264,1.1441140174865723,27,2,0.23317900653492343,0.22500295597608708,0.22894546807766653,0.6182776821428382,0.9344695100083058,44269,1.0,0.00030991598032414913,0.07750762498471886,0.07781754096504301,100.0,507.078125,1,1,种子流真实载荷顺序分片，不重复使用
pair_019,UDP,1205,1195,75,1143862,1120658,70696,36.60103702545166,1.2856800556182861,37,2,0.40233150987597416,0.41045822191437303,0.4062827446449054,0.6001236669640492,0.946543224784139,67546,1.0,0.0002588339848443866,0.07694437506143004,0.07720320904627442,100.0,507.078125,1,1,种子流真实载荷顺序分片，不重复使用
pair_020,UDP,1184,1131,16,1188101,1129353,18888,5.26451301574707,0.14457201957702637,6,1,0.17270489342354942,0.15929710854953233,0.16501106384505723,0.6337432311144446,0.5741363979316981,18216,1.0,0.00030262500513345003,0.0709972910117358,0.07129991601686925,99.9,507.078125,1,1,种子流真实载荷顺序分片，不重复使用
